Text,Label,Source,Sentiment,Predicted_Sentiment,Sentiment_Score
So there is no way for me to plug it in here in the US unless I go by a converter.,0,Amazon,Negative,Negative,-0.3535
"Good case, Excellent value.",1,Amazon,Positive,Positive,0.8402
Great for the jawbone.,1,Amazon,Positive,Positive,0.6249
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,Amazon,Negative,Negative,-0.6145
The mic is great.,1,Amazon,Positive,Positive,0.6249
I have to jiggle the plug to get it to line up right to get decent volume.,0,Amazon,Negative,Neutral,0.0
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,Amazon,Negative,Positive,0.5106
If you are Razr owner...you must have this!,1,Amazon,Positive,Neutral,0.0
"Needless to say, I wasted my money.",0,Amazon,Negative,Negative,-0.4939
What a waste of money and time!.,0,Amazon,Negative,Negative,-0.4753
And the sound quality is great.,1,Amazon,Positive,Positive,0.6249
He was very impressed when going from the original battery to the extended battery.,1,Amazon,Positive,Positive,0.6901
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,Amazon,Negative,Neutral,0.0
Very good quality though,1,Amazon,Positive,Positive,0.4927
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,Amazon,Negative,Negative,-0.6717
Highly recommend for any one who has a blue tooth phone.,1,Amazon,Positive,Positive,0.4201
I advise EVERYONE DO NOT BE FOOLED!,0,Amazon,Negative,Positive,0.4622
So Far So Good!.,1,Amazon,Positive,Positive,0.6556
Works great!.,1,Amazon,Positive,Positive,0.6588
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,Amazon,Negative,Neutral,0.0
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,Amazon,Negative,Neutral,0.0
I bought this to use with my Kindle Fire and absolutely loved it!,1,Amazon,Positive,Positive,0.474
The commercials are the most misleading.,0,Amazon,Negative,Negative,-0.4576
I have yet to run this new battery below two bars and that's three days without charging.,1,Amazon,Positive,Neutral,0.0
I bought it for my mother and she had a problem with the battery.,0,Amazon,Negative,Negative,-0.4019
Great Pocket PC / phone combination.,1,Amazon,Positive,Positive,0.6249
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,Amazon,Positive,Positive,0.6369
